"skill_name","job_titel","firma","job_via","job_id","durchschnittsgehalt","arbeitszeitmodell","datum"
"python","Senior Ai Research Engineer","Worldcoin","via Ai-Jobs.net",441924,"224500.0","Full-time","2023-04-12"
"azure","Senior Ai Research Engineer","Worldcoin","via Ai-Jobs.net",441924,"224500.0","Full-time","2023-04-12"
"aws","Senior Ai Research Engineer","Worldcoin","via Ai-Jobs.net",441924,"224500.0","Full-time","2023-04-12"
"gcp","Senior Ai Research Engineer","Worldcoin","via Ai-Jobs.net",441924,"224500.0","Full-time","2023-04-12"
"tensorflow","Senior Ai Research Engineer","Worldcoin","via Ai-Jobs.net",441924,"224500.0","Full-time","2023-04-12"
"keras","Senior Ai Research Engineer","Worldcoin","via Ai-Jobs.net",441924,"224500.0","Full-time","2023-04-12"
"pytorch","Senior Ai Research Engineer","Worldcoin","via Ai-Jobs.net",441924,"224500.0","Full-time","2023-04-12"
"opencv","Senior Ai Research Engineer","Worldcoin","via Ai-Jobs.net",441924,"224500.0","Full-time","2023-04-12"
"python","Senior Machine Learning Engineer, Computer Vision","Worldcoin","via Ai-Jobs.net",1773555,"224500.0","Full-time","2023-02-16"
"mongodb","Senior Machine Learning Engineer, Computer Vision","Worldcoin","via Ai-Jobs.net",1773555,"224500.0","Full-time","2023-02-16"
"rust","Senior Machine Learning Engineer, Computer Vision","Worldcoin","via Ai-Jobs.net",1773555,"224500.0","Full-time","2023-02-16"
"postgresql","Senior Machine Learning Engineer, Computer Vision","Worldcoin","via Ai-Jobs.net",1773555,"224500.0","Full-time","2023-02-16"
"mongodb","Senior Machine Learning Engineer, Computer Vision","Worldcoin","via Ai-Jobs.net",1773555,"224500.0","Full-time","2023-02-16"
"aws","Senior Machine Learning Engineer, Computer Vision","Worldcoin","via Ai-Jobs.net",1773555,"224500.0","Full-time","2023-02-16"
"go","Software Engineer: Stream Processing","Observe","via AngelList",334637,"206000.0","Full-time","2023-02-02"
"snowflake","Software Engineer: Stream Processing","Observe","via AngelList",334637,"206000.0","Full-time","2023-02-02"
"express","Software Engineer: Stream Processing","Observe","via AngelList",334637,"206000.0","Full-time","2023-02-02"
"python","Research Engineer for High Performance Cooling of eMobility...","Bosch Group","via Ai-Jobs.net",317495,"200000.0","Full-time","2023-02-16"
"c++","Research Engineer for High Performance Cooling of eMobility...","Bosch Group","via Ai-Jobs.net",317495,"200000.0","Full-time","2023-02-16"
"spark","Research Engineer for High Performance Cooling of eMobility...","Bosch Group","via Ai-Jobs.net",317495,"200000.0","Full-time","2023-02-16"
"spark","Research Engineer (f/m/div.)","Bosch Group","via Ai-Jobs.net",107183,"200000.0","Full-time","2023-01-25"
"matlab","Research Engineer Power Electronics (f/m/div.)","Bosch Group","via Ai-Jobs.net",173290,"200000.0","Full-time","2023-04-01"
"spark","Research Engineer Power Electronics (f/m/div.)","Bosch Group","via Ai-Jobs.net",173290,"200000.0","Full-time","2023-04-01"
"github","Research Engineer Power Electronics (f/m/div.)","Bosch Group","via Ai-Jobs.net",173290,"200000.0","Full-time","2023-04-01"
"python","Research Engineer - Laser Material Processing (f/m/div.)","Bosch Group","via Ai-Jobs.net",665085,"200000.0","Full-time","2023-01-25"
"spark","Research Engineer - Laser Material Processing (f/m/div.)","Bosch Group","via Ai-Jobs.net",665085,"200000.0","Full-time","2023-01-25"
"github","Research Engineer - Laser Material Processing (f/m/div.)","Bosch Group","via Ai-Jobs.net",665085,"200000.0","Full-time","2023-01-25"
"spark","Research Engineer PEMFC Fuel Cell Stack (f/m/div.)","Bosch Group","via Ai-Jobs.net",228083,"200000.0","Full-time","2023-01-16"
"github","Research Engineer PEMFC Fuel Cell Stack (f/m/div.)","Bosch Group","via Ai-Jobs.net",228083,"200000.0","Full-time","2023-01-16"
"spark","Technology Research Engineer for Power Semiconductors (f/m/div.)","Bosch Group","via Ai-Jobs.net",1202839,"200000.0","Full-time","2023-01-31"
"github","Technology Research Engineer for Power Semiconductors (f/m/div.)","Bosch Group","via Ai-Jobs.net",1202839,"200000.0","Full-time","2023-01-31"
